document_id,title,forename,surname,pubyear,gender,genre
1,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,travel
1,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,history
2,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,fiction
2,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,romance
3,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,fiction
3,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,romance
4,Braes o' Balquhidder, Douglas,Aytoun,1896-01-01,m,fiction
4,Braes o' Balquhidder, Douglas,Aytoun,1896-01-01,m,adventure
5,England from a Back-Window, James Montgomery,Bailey,1878-01-01,m,non-fiction
5,England from a Back-Window, James Montgomery,Bailey,1878-01-01,m,travel
6,Secretar. Founded on the story of the Casket Letters, W.,Beatty,1897-01-01,u,fiction
6,Secretar. Founded on the story of the Casket Letters, W.,Beatty,1897-01-01,u,historical fiction
7,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,non-fiction
7,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,travel
7,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,history
8,"Story of a Stolen Heir, vol. 1", James Glass,Bertram,1858-01-01,m,fiction
8,"Story of a Stolen Heir, vol. 1", James Glass,Bertram,1858-01-01,m,crime and mystery
9,"Story of a Stolen Heir, vol. 2", James Glass,Bertram,1858-01-01,m,fiction
9,"Story of a Stolen Heir, vol. 2", James Glass,Bertram,1858-01-01,m,crime and mystery
10,"Story of a Stolen Heir, vol. 3", James Glass,Bertram,1858-01-01,m,fiction
10,"Story of a Stolen Heir, vol. 3", James Glass,Bertram,1858-01-01,m,crime and mystery
11,Early Travellers in Scotland, Peter Hume,Brown,1891-01-01,m,non-fiction
11,Early Travellers in Scotland, Peter Hume,Brown,1891-01-01,m,essays and journals
11,Early Travellers in Scotland, Peter Hume,Brown,1891-01-01,m,travel
12,House of Achendaroch: an Old Maid's Story, Mary Emily,Cameron,1878-01-01,f,fiction
12,House of Achendaroch: an Old Maid's Story, Mary Emily,Cameron,1878-01-01,f,romance
13,Deilie Jock, C. M.,Campbell,1897-01-01,u,fiction
13,Deilie Jock, C. M.,Campbell,1897-01-01,u,adventure
13,Deilie Jock, C. M.,Campbell,1897-01-01,u,travel
14,"Hanleys; or, Wheels within Wheels", Mary,Caumont,1888-01-01,f,fiction
14,"Hanleys; or, Wheels within Wheels", Mary,Caumont,1888-01-01,f,romance
14,"Hanleys; or, Wheels within Wheels", Mary,Caumont,1888-01-01,f,humour and satire
15,Renegade, James,Chalmers,1895-01-01,m,fiction
15,Renegade, James,Chalmers,1895-01-01,m,historical fiction
15,Renegade, James,Chalmers,1895-01-01,m,war fiction
16,Abroad. Journal of a Tour Through Great Britain and on the Continent, James Henry,Coghill,1868-01-01,m,non-fiction
16,Abroad. Journal of a Tour Through Great Britain and on the Continent, James Henry,Coghill,1868-01-01,m,history
16,Abroad. Journal of a Tour Through Great Britain and on the Continent, James Henry,Coghill,1868-01-01,m,travel
17,Curly. An Actor's Story, John,Coleman,1885-01-01,m,fiction
17,Curly. An Actor's Story, John,Coleman,1885-01-01,m,adventure
17,Curly. An Actor's Story, John,Coleman,1885-01-01,m,romance
18,A Bit of the Tartan, Frances Mary,Colquhoun,1895-01-01,f,fiction
18,A Bit of the Tartan, Frances Mary,Colquhoun,1895-01-01,f,children's fiction
19,A Holiday Tour in Europe, Joel,Cook,1879-01-01,m,non-fiction
19,A Holiday Tour in Europe, Joel,Cook,1879-01-01,m,essays and journals
19,A Holiday Tour in Europe, Joel,Cook,1879-01-01,m,travel
20,A Knight Templar Abroad, William Harlan,Cord,1885-01-01,m,non-fiction
20,A Knight Templar Abroad, William Harlan,Cord,1885-01-01,m,travel
20,A Knight Templar Abroad, William Harlan,Cord,1885-01-01,m,history
21,In the Western Highlands of Scotland, Percy Tunnicliff,Cowley,1890-01-01,m,non-fiction
21,In the Western Highlands of Scotland, Percy Tunnicliff,Cowley,1890-01-01,m,travel
22,The Black Douglas, Samuel Rutherford,Crockett,1899-01-01,m,fiction
22,The Black Douglas, Samuel Rutherford,Crockett,1899-01-01,m,adventure
22,The Black Douglas, Samuel Rutherford,Crockett,1899-01-01,m,historical fiction
23,Bog-Myrtle and Peat, Samuel Rutherford,Crockett,1895-01-01,m,fiction
23,Bog-Myrtle and Peat, Samuel Rutherford,Crockett,1895-01-01,m,myths and legends
23,Bog-Myrtle and Peat, Samuel Rutherford,Crockett,1895-01-01,m,short stories
24,"Cleg Kelly, Arab of the City", Samuel Rutherford,Crockett,1896-01-01,m,fiction
24,"Cleg Kelly, Arab of the City", Samuel Rutherford,Crockett,1896-01-01,m,adventure
25,Lilac Sunbonnet, Samuel Rutherford,Crockett,1894-01-01,m,fiction
25,Lilac Sunbonnet, Samuel Rutherford,Crockett,1894-01-01,m,romance
26,The Stickit minister, Samuel Rutherford,Crockett,1893-01-01,m,fiction
26,The Stickit minister, Samuel Rutherford,Crockett,1893-01-01,m,short stories
27,Miss Armstrong's and other circumstances, John,Davidson,1896-01-01,m,fiction
27,Miss Armstrong's and other circumstances, John,Davidson,1896-01-01,m,short stories
28,The Cleekim Inn, Charles James,Dibdin,1896-01-01,m,fiction
28,The Cleekim Inn, Charles James,Dibdin,1896-01-01,m,adventure
28,The Cleekim Inn, Charles James,Dibdin,1896-01-01,m,historical fiction
30,Bloom of faded years, Walmer,Downe,1896-01-01,m,fiction
30,Bloom of faded years, Walmer,Downe,1896-01-01,m,romance
31,By Shamrock and Heather, Walmer,Downe,1898-01-01,m,fiction
31,By Shamrock and Heather, Walmer,Downe,1898-01-01,m,romance
31,By Shamrock and Heather, Walmer,Downe,1898-01-01,m,adventure
32,"A Duet, with an Occasional Chorus", Arthur Conan,Doyle,1899-01-01,m,fiction
32,"A Duet, with an Occasional Chorus", Arthur Conan,Doyle,1899-01-01,m,romance
33,"Observations in Europe, principally in France and Great Britain, vol. 2", John Price,Durbin,1844-01-01,m,non-fiction
33,"Observations in Europe, principally in France and Great Britain, vol. 2", John Price,Durbin,1844-01-01,m,travel
34,Sparks from a Locomotive, Hiram,Fuller,1859-01-01,u,non-fiction
34,Sparks from a Locomotive, Hiram,Fuller,1859-01-01,u,letters and diaries
34,Sparks from a Locomotive, Hiram,Fuller,1859-01-01,u,travel
35,Night-Lights, Arthur Broadfield,Frost,1893-01-01,m,non-fiction
35,Night-Lights, Arthur Broadfield,Frost,1893-01-01,m,biography and autobiography
35,Night-Lights, Arthur Broadfield,Frost,1893-01-01,m,essays and journals
36,"A Traveller's Notes, in Scotland, Belgium, Devonshire, the Channel Islands, the Mediterranean, France, Somersetshire, Cornwall, the Scilly Islands, Wilts, and Dorsetshire", G.,H.,1867-01-01,m,non-fiction
36,"A Traveller's Notes, in Scotland, Belgium, Devonshire, the Channel Islands, the Mediterranean, France, Somersetshire, Cornwall, the Scilly Islands, Wilts, and Dorsetshire", G.,H.,1867-01-01,m,travel
37,Rambles in Europe in 1839, William,Gibson,1841-01-01,m,non-fiction
37,Rambles in Europe in 1839, William,Gibson,1841-01-01,m,travel
38,World: round it and over it, Chester,Glass,1881-01-01,m,non-fiction
38,World: round it and over it, Chester,Glass,1881-01-01,m,travel
38,World: round it and over it, Chester,Glass,1881-01-01,m,letters and diaries
39,"Jane Seton: or, the Kings Advocate", James,Grant,1853-01-01,m,fiction
39,"Jane Seton: or, the Kings Advocate", James,Grant,1853-01-01,m,historical fiction
39,"Jane Seton: or, the Kings Advocate", James,Grant,1853-01-01,m,adventure
40,The Romance of War, James,Grant,1846-01-01,m,fiction
40,The Romance of War, James,Grant,1846-01-01,m,historical fiction
40,The Romance of War, James,Grant,1846-01-01,m,war fiction
41,Kriegspiel: the War-Game, Francis Hindes,Groome,1896-01-01,m,fiction
41,Kriegspiel: the War-Game, Francis Hindes,Groome,1896-01-01,m,historical fiction
41,Kriegspiel: the War-Game, Francis Hindes,Groome,1896-01-01,m,war fiction
42,Over the ocean, Curtis,Guild,1871-01-01,m,non-fiction
42,Over the ocean, Curtis,Guild,1871-01-01,m,travel
43,Here and there in the Home Land, Canniff,Haight,1895-01-01,m,non-fiction
43,Here and there in the Home Land, Canniff,Haight,1895-01-01,m,travel
44,Within a mile o' Edinburgh Town, Robina F.,Hardy,1886-01-01,f,fiction
44,Within a mile o' Edinburgh Town, Robina F.,Hardy,1886-01-01,f,romance
45,A Voyage round Great Britain, Thomas,Hargreaves,1884-01-01,m,non-fiction
45,A Voyage round Great Britain, Thomas,Hargreaves,1884-01-01,m,travel
45,A Voyage round Great Britain, Thomas,Hargreaves,1884-01-01,m,history
46,"Passages from the English Note-books of Nathaniel Hawthorne, vol. 2", Sophia Peabody,Hawthorne,1870-01-01,f,non-fiction
46,"Passages from the English Note-books of Nathaniel Hawthorne, vol. 2", Nathaniel,Hawthorne,1870-01-01,m,non-fiction
46,"Passages from the English Note-books of Nathaniel Hawthorne, vol. 2", Sophia Peabody,Hawthorne,1870-01-01,f,essays and journals
46,"Passages from the English Note-books of Nathaniel Hawthorne, vol. 2", Nathaniel,Hawthorne,1870-01-01,m,essays and journals
46,"Passages from the English Note-books of Nathaniel Hawthorne, vol. 2", Sophia Peabody,Hawthorne,1870-01-01,f,travel
46,"Passages from the English Note-books of Nathaniel Hawthorne, vol. 2", Nathaniel,Hawthorne,1870-01-01,m,travel
47,"Notes by the way; or, what I saw in my rambles", H. Talbot,Higginson,1890-01-01,u,non-fiction
47,"Notes by the way; or, what I saw in my rambles", H. Talbot,Higginson,1890-01-01,u,travel
47,"Notes by the way; or, what I saw in my rambles", H. Talbot,Higginson,1890-01-01,u,history
49,A Brief Account of a Tour through Some Parts of Scotland, Robert,Hunter,1839-01-01,m,non-fiction
50,"Diary of an Overland Journey from Bombay to England, and of a year's residence in Great Britain", Ardsher,Khurshed-ji,1840-01-01,m,non-fiction
