id,text,document_id,location_id,sentence_id
183,Old Town,1,90,183
184,Edinburgh,1,91,184
227,Old Town,1,90,227
386,Musselburgh,1,184,386
388,Holyrood,1,185,388
389,Auld Reekie,1,186,389
390,Prince's Street,1,187,390
391,Old Town,1,90,391
392,Calton Hill,1,188,392
393,Edinburgh,1,91,393
395,Prince's Street,1,187,395
396,Firth of Forth,1,189,396
398,Edinburgh,1,91,398
399,Edinburgh,1,91,399
400,St. Giles's,1,191,400
401,Calton Hill,1,188,401
403,Nelson Monument,1,193,403
404,Prince's Street Gardens,1,194,404
405,Old Town,1,90,405
406,Edinburgh,1,91,406
412,Edinburgh,1,91,412
414,Edinburgh,1,91,414
418,Edinburgh,1,91,418
419,St. Giles,1,202,419
421,Edinburgh,1,91,421
422,Edinburgh,1,91,422
423,Prince's Street,1,187,423
424,Old Town,1,90,424
425,Scott Monument,1,204,425
426,High Street,1,205,426
427,Canongate,1,206,427
428,Holyrood Palace,1,207,428
429,Canongate,1,206,429
430,Salisbury Crags,1,208,430
432,Edinburgh,1,91,432
433,New Town,1,210,433
434,Firth of Forth,1,189,434
435,Granton,1,211,435
436,Leith,1,212,436
438,Old Town,1,90,438
439,Grassmarket,1,214,439
440,West Port,1,215,440
441,Bruntsfield Links,1,216,441
442,Morningside,1,217,442
444,Mons Meg,1,219,444
455,Castle Street,1,223,455
459,Edinburgh,1,91,459
461,Grassmarket,1,214,461
462,Prince's Street,1,187,462
463,Edinburgh,1,91,463
464,Edinburgh,1,91,464
465,Scott Monument,1,204,465
466,North Bridge,1,227,466
467,Prince's Street,1,187,467
468,Edinburgh,1,91,468
469,Edinburgh,1,91,469
471,Edinburgh,1,91,471
472,Prince's Gardens,1,228,472
473,Waverley Station,1,229,473
475,Prince's Street,1,187,475
476,Edinburgh,1,91,476
477,Old Town,1,90,477
478,Waverley Station,1,229,478
491,Edinburgh,1,91,491
506,Edinburgh,1,91,506
508,Holyrood,1,185,508
509,Old Town,1,90,509
510,Edinburgh,1,91,510
511,Grassmarket,1,214,511
512,Edinburgh,1,91,512
515,Edinburgh,1,91,515
516,Greyfriars Church,1,239,516
517,Edinburgh,1,91,517
518,High Street,1,205,518
525,Duddingstone,1,243,525
529,Duddingstone,1,243,529
531,Edinburgh,1,91,531
532,Leith,1,212,532
533,Forth,1,247,533
536,Morningside,1,217,536
538,Harmony House,1,251,538
540,Edinburgh,1,91,540
541,Water of Leith,1,253,541
542,Dean Cemetery,1,254,542
545,High Street,1,205,545
547,Canongate,1,206,547
548,Heart of Midlothian,1,255,548
549,Holyrood,1,185,549
550,Calton Hill,1,188,550
551,Auld Reekie,1,186,551
552,Edinburgh,1,91,552
554,Corstorphine,1,257,554
555,Linlithgow,1,258,555
561,Edinburgh,1,91,561
567,Forth,1,247,567
575,Edinburgh,1,91,575
577,Forth,1,247,577
583,Holyrood,1,185,583
595,Edinburgh,1,91,595
596,Edinburgh,1,91,596
699,High Street,1,205,699
726,Edinburgh,1,91,726
1000,Edinburgh,1,91,1000
1045,Argyle Place,1,442,1045
1046,Regent Street,1,443,1046
1073,Assembly Rooms,1,450,1073
1220,Buckstone,1,498,1220
1244,St. Giles's,1,191,1244
1280,Edinburgh,2,91,1280
1288,Edinburgh,2,91,1288
1290,Edinburgh,2,91,1290
1291,Edinburgh,2,91,1291
1293,Edinburgh,2,91,1293
1297,Edinburgh,2,91,1297
1300,Stockbridge,2,526,1300
1301,Edinburgh,2,91,1301
1302,Danube Street,2,527,1302
1303,Edinburgh,2,91,1303
1304,Princes Street,2,528,1304
1305,Old Town,2,90,1305
1306,Stockbridge,2,526,1306
1308,Danube Street,2,527,1308
1309,Danube Street,2,527,1309
1310,Edinburgh,2,91,1310
1312,Leith,2,212,1312
1319,Danube Street,2,527,1319
1320,Edinburgh,2,91,1320
1335,Edinburgh,2,91,1335
1337,Swanston,2,535,1337
1340,Edinburgh,2,91,1340
1341,Edinburgh,2,91,1341
1342,Stockbridge,2,526,1342
1343,Market Street,2,537,1343
1344,Danube Street,2,527,1344
1345,Heriot Row,2,538,1345
1348,Moray Place,2,539,1348
1351,Moray Place,2,539,1351
1353,Moray Place,2,539,1353
1358,Granton,2,211,1358
1362,Moray Place,2,539,1362
1366,Moray Place,2,539,1366
1368,Broughton Place,2,540,1368
1369,Danube Street,2,527,1369
1370,Moray Place,2,539,1370
1371,Moray Place,2,539,1371
1372,Danube Street,2,527,1372
1373,Moray Place,2,539,1373
1374,Moray Place,2,539,1374
1377,Danube Street,2,527,1377
1379,Edinburgh,2,91,1379
1380,Edinburgh,2,91,1380
